epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,668.282,0.64582,2.49752,1.16029,0.73787,0.68302,0.75673,0.65095,0.57101,1.42905,1.11657,0.000330808,0.000330808,0.000330808
2,730.944,0.67682,1.48018,1.16209,0.65887,0.72486,0.79928,0.63936,0.68721,1.41566,1.19797,0.000631266,0.000631266,0.000631266
3,793.485,0.71013,1.33448,1.17965,0.66368,0.63284,0.72926,0.55618,0.78196,1.41909,1.35157,0.000898725,0.000898725,0.000898725
4,856.685,0.70356,1.20358,1.17995,0.70647,0.69357,0.7529,0.57403,0.76709,1.19056,1.29314,0.0008515,0.0008515,0.0008515
5,920.01,0.66417,1.06079,1.14554,0.828,0.68066,0.83521,0.69499,0.63076,1.11332,1.14553,0.000802,0.000802,0.000802
6,983.504,0.64206,0.94271,1.13204,0.88263,0.80156,0.90705,0.77933,0.56495,0.75779,1.09141,0.0007525,0.0007525,0.0007525
7,1046.1,0.62298,0.88116,1.12744,0.88378,0.82594,0.92509,0.75734,0.62319,0.73583,1.14962,0.000703,0.000703,0.000703
8,1109.07,0.58327,0.83741,1.0975,0.80022,0.80044,0.88108,0.75963,0.53558,0.8579,1.06732,0.0006535,0.0006535,0.0006535
9,1173.03,0.57602,0.76121,1.09564,0.90581,0.86197,0.94605,0.82588,0.50508,0.58154,1.03626,0.000604,0.000604,0.000604
10,1236.26,0.55604,0.72045,1.06748,0.92802,0.8787,0.95174,0.83335,0.5096,0.54312,1.04795,0.0005545,0.0005545,0.0005545
11,1303.62,0.4581,0.69361,1.03278,0.88071,0.85969,0.92888,0.8073,0.50458,0.6091,1.04509,0.000505,0.000505,0.000505
12,1364.94,0.44506,0.60818,1.01995,0.93348,0.88549,0.9487,0.83767,0.4724,0.48548,0.99347,0.0004555,0.0004555,0.0004555
13,1430.3,0.43204,0.55524,1.00454,0.89889,0.89153,0.94767,0.83329,0.47727,0.48771,1.00956,0.000406,0.000406,0.000406
14,1508.95,0.41342,0.47412,0.99142,0.9374,0.89934,0.95812,0.85238,0.46106,0.43619,0.9971,0.0003565,0.0003565,0.0003565
15,1587.01,0.38821,0.43707,0.96368,0.95329,0.91169,0.96427,0.87565,0.42045,0.38656,0.95723,0.000307,0.000307,0.000307
16,1663.31,0.36609,0.40336,0.94902,0.96006,0.92555,0.97312,0.88426,0.39641,0.36007,0.94083,0.0002575,0.0002575,0.0002575
17,1741.26,0.34644,0.37296,0.93412,0.96387,0.93337,0.97578,0.88791,0.4039,0.34328,0.9355,0.000208,0.000208,0.000208
18,1806.36,0.32973,0.34535,0.92351,0.96852,0.92038,0.97238,0.89333,0.37988,0.34464,0.93078,0.0001585,0.0001585,0.0001585
19,1870.66,0.31707,0.31509,0.90963,0.96148,0.9324,0.97444,0.89626,0.36183,0.31922,0.91401,0.000109,0.000109,0.000109
20,1932.98,0.29616,0.30514,0.90638,0.96819,0.93702,0.97765,0.90328,0.3559,0.30517,0.90998,5.95e-05,5.95e-05,5.95e-05
