epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.152,0.6437,1.70566,1.15467,0.70555,0.66927,0.74568,0.60272,0.71609,1.38427,1.27703,0.000330808,0.000330808,0.000330808
2,184.206,0.73868,1.1599,1.20155,0.68625,0.69265,0.74432,0.54269,0.89481,1.28711,1.42965,0.000642225,0.000642225,0.000642225
3,251.377,0.80406,1.13727,1.24675,0.53768,0.59362,0.60168,0.41607,1.0475,1.87067,1.53824,0.000931641,0.000931641,0.000931641
4,319.361,0.79567,1.08621,1.24556,0.74432,0.66911,0.7631,0.54393,0.90376,1.16478,1.38919,0.000901,0.000901,0.000901
5,386.036,0.76175,0.9869,1.21406,0.69588,0.57138,0.6988,0.54693,0.77881,1.5726,1.29406,0.000868,0.000868,0.000868
6,453.541,0.71617,0.87866,1.18575,0.85921,0.80652,0.89943,0.72318,0.68275,0.79009,1.18769,0.000835,0.000835,0.000835
7,521.706,0.69374,0.86269,1.1734,0.88224,0.82126,0.90557,0.74968,0.65092,0.72581,1.17172,0.000802,0.000802,0.000802
8,588.633,0.65747,0.82691,1.14558,0.85647,0.84958,0.91569,0.78058,0.58027,0.65441,1.09623,0.000769,0.000769,0.000769
9,657.058,0.64223,0.76019,1.13525,0.86046,0.83109,0.91225,0.7763,0.5938,0.60981,1.11265,0.000736,0.000736,0.000736
10,724.777,0.61462,0.73108,1.10449,0.84501,0.84026,0.91963,0.78788,0.58007,0.65673,1.10299,0.000703,0.000703,0.000703
11,792.94,0.6094,0.69567,1.1137,0.92522,0.87077,0.947,0.82006,0.55179,0.49287,1.05807,0.00067,0.00067,0.00067
12,861.098,0.58297,0.66249,1.09243,0.92979,0.87373,0.95228,0.82053,0.55612,0.48983,1.06472,0.000637,0.000637,0.000637
13,929.7,0.56587,0.63697,1.08855,0.92502,0.84903,0.94034,0.81292,0.56257,0.51833,1.07681,0.000604,0.000604,0.000604
14,997.859,0.56278,0.6223,1.08774,0.90018,0.88938,0.94863,0.82599,0.52474,0.47752,1.05768,0.000571,0.000571,0.000571
15,1065.31,0.53724,0.58554,1.06845,0.90789,0.8691,0.94741,0.84733,0.46751,0.45941,0.99957,0.000538,0.000538,0.000538
16,1133.74,0.54343,0.58077,1.06916,0.93213,0.90238,0.95811,0.84798,0.49792,0.45551,1.01187,0.000505,0.000505,0.000505
17,1202.5,0.52001,0.54136,1.05937,0.92769,0.9009,0.95493,0.85642,0.46308,0.42883,0.9993,0.000472,0.000472,0.000472
18,1270.66,0.4945,0.51833,1.04481,0.9506,0.9056,0.96545,0.8706,0.44242,0.39984,0.98074,0.000439,0.000439,0.000439
19,1336.65,0.49227,0.49467,1.04238,0.96105,0.91242,0.96801,0.86892,0.45411,0.3737,0.98509,0.000406,0.000406,0.000406
20,1402.84,0.48704,0.49256,1.03667,0.94173,0.91927,0.96768,0.88013,0.42401,0.36647,0.96481,0.000373,0.000373,0.000373
21,1471.62,0.38051,0.35959,0.96539,0.93895,0.89129,0.95638,0.86341,0.43772,0.40904,0.96916,0.00034,0.00034,0.00034
22,1535.21,0.38317,0.36492,0.96194,0.95136,0.92051,0.96935,0.87767,0.43973,0.35807,0.97021,0.000307,0.000307,0.000307
23,1600.07,0.36801,0.35223,0.95353,0.95248,0.92627,0.96726,0.88163,0.41186,0.35403,0.94578,0.000274,0.000274,0.000274
24,1683.75,0.34036,0.30765,0.93723,0.95764,0.92333,0.96911,0.88668,0.3986,0.33281,0.93922,0.000241,0.000241,0.000241
25,1759.35,0.33137,0.2822,0.92576,0.94819,0.92759,0.97232,0.88404,0.40407,0.34645,0.94742,0.000208,0.000208,0.000208
26,1827.15,0.31617,0.26554,0.91861,0.95516,0.92471,0.97196,0.89121,0.38577,0.32124,0.93131,0.000175,0.000175,0.000175
27,1891.84,0.30169,0.25703,0.90658,0.94753,0.92434,0.97063,0.89396,0.3808,0.32626,0.9257,0.000142,0.000142,0.000142
28,1957.58,0.29648,0.24397,0.90254,0.97041,0.91533,0.97392,0.89985,0.3712,0.30084,0.92334,0.000109,0.000109,0.000109
29,2024.06,0.28962,0.23705,0.90177,0.96032,0.93523,0.97801,0.90133,0.36915,0.29557,0.92228,7.6e-05,7.6e-05,7.6e-05
30,2089.15,0.26993,0.21539,0.88309,0.95048,0.94129,0.97632,0.90435,0.35123,0.285,0.90982,4.3e-05,4.3e-05,4.3e-05
